,Country,City,AccentCity,Region,Population,Latitude,Longitude
150984,au,almonds,Almonds,07,,-36.2,145.966667
150985,au,almurta,Almurta,07,,-38.45,145.566667
150986,au,almurta east,Almurta East,07,,-38.466667,145.583333
150987,au,alonnah,Alonnah,06,,-43.316667,147.25
150988,au,aloomba,Aloomba,04,,-17.116667,145.833333
150989,au,alpha,Alpha,04,,-23.649151,146.639847
150990,au,alphington,Alphington,07,,-37.783333,145.033333
150991,au,alpine,Alpine,02,,-34.416667,150.51666699999998
150992,au,alpurrurulam,Alpurrurulam,03,,-20.985519,137.84913600000002
150993,au,alston,Alston,02,,-33.983333,148.98333300000002
150994,au,alstonville,Alstonville,02,,-28.84186,153.440216
150995,au,altona,Altona,05,,-34.6,138.916667
150996,au,altona,Altona,07,,-37.866667,144.833333
150997,au,alton,Alton,04,,-27.983333,149.316667
150998,au,alton downs,Alton Downs,04,,-23.3,150.35
150999,au,alumny creek,Alumny Creek,02,,-29.65,152.95
151000,au,alumy creek,Alumy Creek,02,,-29.65,152.95
151001,au,alva,Alva,04,,-19.45,147.48333300000002
151002,au,alvie,Alvie,07,,-38.233333,143.5
151003,au,alyangula,Alyangula,03,1289.0,-13.85413,136.421295
151004,au,amamoor,Amamoor,04,,-26.35,152.683333
151005,au,amaroo,Amaroo,02,,-33.183333000000005,148.933333
151006,au,amata,Amata,05,,-26.166667,131.15
151007,au,amberley,Amberley,04,,-27.633333,152.7
151008,au,ambrose,Ambrose,04,,-23.8,150.933333
151009,au,amby,Amby,04,,-26.55,148.183333
151010,au,american river,American River,05,,-35.783333,137.76666699999998
151011,au,amery,Amery,08,,-31.15,117.083333
151012,au,amherst,Amherst,07,,-37.15,143.666667
151013,au,amhurst,Amhurst,04,,-21.066667,149.23333300000002
151014,au,amiens,Amiens,04,,-28.583333000000003,151.816667
151015,au,amity point,Amity Point,04,,-27.395029,153.44104
151016,au,amoonguna,Amoonguna,03,,-23.770941,133.936523
151017,au,amosfield,Amosfield,02,,-28.65,152.066667
151018,au,amos quarries,Amos Quarries,04,,-23.75,150.833333
151019,au,amphion,Amphion,08,,-32.766667,116.2
151020,au,amphitheatre,Amphitheatre,07,,-37.166667,143.416667
151021,au,ampilatwatja,Ampilatwatja,03,,-21.657021,135.225906
151022,au,amyton,Amyton,05,,-32.6,138.333333
151023,au,anakie,Anakie,04,,-23.55,147.75
151024,au,anakie,Anakie,07,,-37.916667,144.25
151025,au,ancona,Ancona,07,,-36.983333,145.816667
151026,au,andamooka,Andamooka,05,,-30.449720000000003,137.163651
151027,au,andergrove,Andergrove,04,,-21.083333,149.183333
151028,au,anderson,Anderson,07,,-38.533333,145.45
151029,au,ando,Ando,02,,-36.716667,149.25
151030,au,andover,Andover,06,,-42.333333,147.45
151031,au,androssan,Androssan,05,,-34.422169,137.91906699999998
151032,au,anduramba,Anduramba,04,,-27.15,152.1
151033,au,angas plains,Angas Plains,05,,-35.35,139.0
151034,au,angaston,Angaston,05,,-34.501289,139.046249
151035,au,angas valley,Angas Valley,05,,-34.766667,139.3
151036,au,angellala,Angellala,04,,-26.4,146.9
151037,au,angip,Angip,07,,-36.1,142.23333300000002
151038,au,angledale,Angledale,02,,-36.616667,149.883333
151039,au,angledool,Angledool,02,,-29.116667,147.933333
151040,au,anglesea,Anglesea,07,,-38.407299,144.185867
151041,au,anglesea river,Anglesea River,07,,-38.407299,144.185867
151042,au,angle vale,Angle Vale,05,,-34.64098,138.646103
151043,au,angourie,Angourie,02,,-29.476299,153.358795
151044,au,angurugu,Angurugu,03,,-13.9796,136.461899
151045,au,angustown,Angustown,07,,-36.7,145.1
151046,au,anna bay,Anna Bay,02,,-32.781349,152.08586100000002
151047,au,annadale,Annadale,05,,-34.4,139.333333
151048,au,annalera,Annalera,02,,-31.283333,143.98333300000002
151049,au,annandale,Annandale,02,,-33.883333,151.166667
151050,au,annelera,Annelera,02,,-31.283333,143.98333300000002
151051,au,annuello,Annuello,07,,-34.85,142.833333
151052,au,anthony,Anthony,04,,-27.883333,152.666667
151053,au,antigua,Antigua,04,,-25.633333,152.6
151054,au,antill ponds,Antill Ponds,06,,-42.2,147.4
151055,au,antil plains,Antil Plains,04,,-19.45,146.833333
151056,au,antwerp,Antwerp,07,,-36.3,142.05
151057,au,anyarro,Anyarro,04,,-25.066667,151.116667
151058,au,apoinga,Apoinga,05,,-33.95,138.933333
151059,au,apollo bay,Apollo Bay,07,,-38.759399,143.672195
151060,au,appila,Appila,05,,-33.05,138.416667
151061,au,appin,Appin,02,,-34.203468,150.78643799999998
151062,au,appin,Appin,07,,-35.9,143.866667
151063,au,appin south,Appin South,07,,-35.916667,143.866667
151064,au,appleby,Appleby,02,,-30.966667,150.85
151065,au,applecross,Applecross,08,,-32.016667,115.833333
151066,au,applethorpe,Applethorpe,04,,-28.616667,151.966667
151067,au,apple tree creek,Apple Tree Creek,04,,-25.216667,152.23333300000002
151068,au,apple tree flat,Apple Tree Flat,02,,-32.683333000000005,149.7
151069,au,apsiey,Apsiey,06,,-42.433333000000005,147.133333
151070,au,apsley,Apsley,02,,-32.6,148.98333300000002
151071,au,apsley,Apsley,06,,-42.433333000000005,147.133333
151072,au,apsley,Apsley,07,,-36.966667,141.083333
